Food_items,calories,total_fat,sodium,vitamin_d,calcium,iron,potassium,protein,carbohydrate,fiber,water,sugars,VegNovVeg,Breakfast,Lunch,Dinner,Vegan
"Nuts, pecans",691,72,0,0,70,2.53,410,9.17,13.86,9.6,3.52,3.97,0,1,0,1,1
"Teff, uncooked",367,2.4,12,0,180,7.63,427,13.3,73.13,8,8.82,1.84,0,0,0,1,1
"Sherbet, orange",144,2,46,0,54,0.14,96,1.1,30.4,1.3,66.1,24.32,0,1,1,0,1
"Cauliflower, raw",25,0.3,30,0,22,0.42,299,1.92,4.97,2,92.07,1.91,0,1,0,0,1
"Taro leaves, raw",42,0.7,3,0,107,2.25,648,4.98,6.7,3.7,85.66,3.01,0,1,0,0,1
"Lamb, raw, ground",282,23,59,2,16,1.55,222,16.56,0,0,59.47,0,1,0,0,1,0
"Cheese, camembert",300,24,842,18,388,0.33,187,19.8,0.46,0,51.8,0.46,0,0,0,1,1
Vegetarian fillets,290,18,490,0,95,2,600,23,9,6.1,45,0.8,0,0,1,1,1
"Crackers, rusk toast",407,7.2,253,0,27,2.72,245,13.5,72.3,0,5.5,0,0,1,0,1,1
"Chicken, boiled, feet",215,15,67,8,88,0.91,31,19.4,0.2,0,65.8,0,1,0,1,1,0
"Quail, raw, meat only",134,4.5,51,0,13,4.51,237,21.76,0,0,70.03,0,1,1,1,0,0
"Pie, lemon, fried pies",316,16,374,0,22,1.22,65,3,42.6,2.6,37.6,0,0,0,0,1,1
"Peppers, raw, jalapeno",29,0.4,3,0,12,0.25,248,0.91,6.5,2.8,91.69,4.12,0,1,0,0,1
"Winged bean tuber, raw",148,0.9,35,0,30,2,586,11.6,28.1,0,57.4,0,0,1,1,0,1
"Salami, turkey, cooked",172,9.2,1107,24,40,1.25,216,19.2,1.55,0.1,68.8,1.12,1,0,1,1,0
"Nuts, raw, ginkgo nuts",182,1.7,7,0,2,1,510,4.32,37.6,0,55.2,0,0,1,1,1,1
"Spices, ground, savory",272,5.9,24,0,2132,37.88,1051,6.73,68.73,45.7,9,0,0,0,0,1,1
"Candies, sesame crunch",516,33,167,0,639,4.27,307,11.6,50.3,7.7,2.2,31.17,0,0,0,1,1
"Cheese, low fat, cream",201,15,359,11,148,0.17,247,7.85,8.13,0,66.72,5.82,0,0,1,1,1
