calories,total_fat,sodium,vitamin_d,calcium,iron,potassium,protein,carbohydrate,fiber,sugars,water
691,72,0,0,70,2.53,410,9.17,13.86,9.6,3.97,3.52
367,2.4,12,0,180,7.63,427,13.3,73.13,8,1.84,8.82
144,2,46,0,54,0.14,96,1.1,30.4,1.3,24.32,66.1
25,0.3,30,0,22,0.42,299,1.92,4.97,2,1.91,92.07
42,0.7,3,0,107,2.25,648,4.98,6.7,3.7,3.01,85.66
282,23,59,2,16,1.55,222,16.56,0,0,0,59.47
300,24,842,18,388,0.33,187,19.8,0.46,0,0.46,51.8
290,18,490,0,95,2,600,23,9,6.1,0.8,45
407,7.2,253,0,27,2.72,245,13.5,72.3,0,0,5.5
215,15,67,8,88,0.91,31,19.4,0.2,0,0,65.8
134,4.5,51,0,13,4.51,237,21.76,0,0,0,70.03
316,16,374,0,22,1.22,65,3,42.6,2.6,0,37.6
29,0.4,3,0,12,0.25,248,0.91,6.5,2.8,4.12,91.69
148,0.9,35,0,30,2,586,11.6,28.1,0,0,57.4
172,9.2,1107,24,40,1.25,216,19.2,1.55,0.1,1.12,68.8
182,1.7,7,0,2,1,510,4.32,37.6,0,0,55.2
272,5.9,24,0,2132,37.88,1051,6.73,68.73,45.7,0,9
516,33,167,0,639,4.27,307,11.6,50.3,7.7,31.17,2.2
201,15,359,11,148,0.17,247,7.85,8.13,0,5.82,66.72
119,3,81,0,6,3.13,312,21.67,0,0,0,75.35
268,0.4,7,0,20,0,0,0,94.8,2.4,0,3.5
673,68,2,0,16,5.53,597,13.69,13.08,3.7,3.59,2.28
371,1.5,6,0,21,1.3,223,13.04,74.67,3.2,2.67,9.9
406,11,370,0,0,0,307,7.05,70.54,3.5,21.16,9.79
30,0.8,7,0,105,0.59,274,1.2,4.67,2.6,0.88,92.55
271,16,580,0,19,0.56,341,2.48,28.56,2.8,0.54,50.42
103,0.5,100,0,3,4.5,320,23.08,0,0,0,74.87
576,50,38,0,1,2.46,1017,6.2,33.5,0,0,6.6
106,0.6,11,0,25,3.21,322,8.96,22.14,0,0,67.34
322,3,4186,0,280,1,262,9,67.64,6,0,4.36
316,16,333,0,22,1.22,65,3,42.6,2.6,21.4,37.6
384,3.1,288,0,9,1.87,327,9.7,80.1,2.9,0.72,5
383,11,447,2,105,1.89,446,13.16,58.84,7.9,26.32,15.52
108,2.4,71,0,21,0.46,404,20.21,0,0,0,77.97
43,0.3,25,0,42,1.4,389,3.38,8.95,3.8,2.2,86
33,0.5,56,0,118,1.27,343,3.83,3.12,2.8,0.62,91.41
876,99,2,0,4,0,5,0.28,0,0,0,0.24
424,5.3,149,0,0,3,100,6.5,87.7,1.8,31.6,2
424,5.3,149,0,0,3,100,6.5,87.7,1.8,31.6,2
28,0.4,27,0,48,0.88,325,2.98,5.06,2.3,1.48,90.69
410,6.4,281,0,228,1.93,540,6.9,82.8,0,0,1.7
428,22,1,0,130,4.74,1358,33.8,31.27,15.8,0,7.8
116,1,763,34,49,1.4,415,25.23,0,0,0,71.48
282,14,44,0,14,0.72,492,3.41,35.2,3.5,0.85,46.05
203,10,78,8,28,1.52,294,27.37,0,0,0,62.07
461,17,401,0,0,0,84,4,72.9,1.4,31.5,4.1
301,14,219,0,16,0.93,625,3.73,39.73,4,0.4,40.62
313,4.3,601,0,165,4.09,223,12.96,55.77,4.7,6.42,24.23
374,22,417,2,35,1.8,98,8,37.2,1,6.95,31.4
500,36,446,0,71,1.29,232,8.28,47.59,3.6,32.14,6.28
331,0.7,60,0,79,5.65,1193,16.55,72.73,9,2.43,6.45
763,100,0,0,0,0,0,0,0,0,0,0
322,27,48,218,129,2.73,109,15.86,3.59,0,0.56,52.31
147,5.8,1078,4,10,2.22,210,21.8,0.36,0,0.1,69.53
233,14,471,0,33,1.41,98,19.61,7.7,3.9,0,58
102,0.7,150,0,3,5,240,22.25,0,0,0,75.4
108,1.5,102,0,4,5.23,318,22.22,0,0,0,74.73
216,11,76,8,109,0.93,249,3.8,28.2,1.2,25.36,55.7
522,34,633,0,18,2.27,1237,6.7,53.3,3.4,0.22,2.2
249,0.9,10,0,162,2.03,680,3.3,63.87,9.8,47.92,30.05
133,4.6,53,0,6,3.82,360,21.39,0,0,0,72.63
28,0.4,27,0,48,0.88,325,2.98,5.24,0,0,90.69
198,19,31,0,101,0.07,125,2.44,4.63,0,3.41,73.07
16,0.2,478,0,4,0.6,81,1.2,2.5,0,0,94.5
264,10,494,0,127,2.87,192,12.92,30.28,1.3,6.03,44.53
352,28,534,21,650,0.43,136,23.78,0.57,0,0.57,45.45
293,0.3,8031,0,143,1.25,721,7.48,65.07,6.6,4.65,3.79
517,44,1420,0,14,1.86,385,29.1,0.8,0,0.8,21.6
425,37,1890,0,10,1.52,340,21.7,1.2,0,1.2,34.6
427,14,704,0,36,3.34,345,10.58,69.55,10.3,1.19,2.94
570,50,22,0,106,3.91,744,26.15,15.83,9.5,0,6.39
72,0.9,345,0,10,0.62,9,1.48,14.26,2.5,1.82,82.53
102,0.7,65,0,5,3.21,317,22.24,0,0,0,75.55
48,0.7,420,0,56,0.42,246,1.18,11.29,3.3,7.99,85.08
146,8,89,0,22,0.5,375,17.28,0,0,0,74.13
172,10,1374,10,20,2.15,330,19.03,0.44,0,0,65.77
245,19,1197,0,217,0.76,162,16.18,2.28,0,0,59.13
170,9.2,363,0,95,1.77,229,6.69,15.1,3,0,67.32
318,0.2,80,0,3,0.23,5,1.8,81.3,0.1,57.56,16.4
177,8.6,242,0,49,1.56,173,4.86,20.12,4,0.27,64.87
254,14,115,4,60,0.36,204,3,28.89,1,21.26,53.31
32,0.4,10,0,11,0.86,305,1.74,6.7,3.7,3.83,90.25
281,8.2,43,0,61,10.93,2411,11.86,51.42,21.6,0,22.63
251,3.3,20,0,443,9.71,1329,10.39,63.95,25.3,0.64,12.46
296,2.1,5,0,265,14.31,73,10.4,68.61,26.2,0,11.42
719,80,3,0,145,3.53,507,10.8,3.98,0,0,2.77
98,0.4,21,0,9,0.98,598,1.46,23.63,1.5,0,73.06
391,3.3,391,0,4,0.01,3,0.03,90.4,0,80.46,5.25
45,0.7,76,0,187,3.1,397,2.7,9.2,3.5,0.71,85.6
157,9.4,329,4,15,0.5,242,1.96,16.18,1.3,4.95,70.99
22,0.3,5,7,3,0.5,318,3.09,3.26,1,1.98,92.45
31,0.6,21,206,43,12.18,411,3.12,5.1,2.8,0.6,89.61
358,29,338,21,659,0.59,85,23.54,1.75,0,1.23,42.48
41,1.4,39,49,123,0.44,123,2.47,4.12,0.4,2.88,91.32
66,1.8,13,53,132,0,0,2.64,9.69,0.4,5.29,84.67
90,1.4,70,0,10,3.5,382,16.1,2,0,0,79.2
103,0.8,120,0,3,4.5,300,22.5,0,0,0,74.62
371,1.5,6,0,21,3.3,223,13.04,74.67,3.2,2.67,9.9
416,9.8,501,0,77,6.4,346,5.6,76.9,2.2,19.92,5.3
445,13,477,0,379,3.8,76,5.9,75.7,2.7,22,3.5
223,16,1027,21,74,1.17,202,15.51,2.74,0,2.98,62.5
239,19,1280,24,7,0.95,284,16.06,0.26,0,0,60.77
276,7.4,55,0,1890,123.6,814,9.11,63.94,37,1.71,7.79
386,5.2,13,0,15,1.92,511,9.88,74.93,0,5.38,8.1
327,29,807,0,70,3.94,138,11.2,6.3,0,0,51.8
173,0.3,15,0,14,0.31,91,0.39,42.47,1.5,35.3,56.45
153,9.9,203,0,30,0.22,129,0.95,14.89,1.9,12.19,73.42
261,22,1140,48,6,2.2,188,12.6,1.9,0,1.5,60
282,14,2867,0,330,17.3,1950,13.46,49.7,34.8,7.19,10.75
333,15,17,0,689,16.23,1351,19.77,49.9,38,0.64,9.87
233,4.1,76,0,2240,89.8,2630,22.98,47.75,37.7,1.71,10.35
130,0.5,811,0,3,0.87,25,0.37,35.06,1.1,29.13,62.07
311,3.5,70,0,813,20,2960,21.2,64.29,26.2,0,2
195,15,56,0,35,1.28,358,13.41,0,0,0,71.02
482,20,883,0,14,2.59,171,7.1,67.6,3.5,12,2.5
475,32,80,0,252,13.9,463,6.71,50.5,20.2,0,8.17
341,1,73,0,384,3.9,985,10.41,79.12,15.2,6.63,5.39
717,81,11,0,24,0.02,24,0.85,0.06,0,0.06,17.94
345,1.6,4,0,32,2.68,309,10.5,74.52,10.1,0.8,12.11
350,17,544,9,27,3.05,103,8.36,41.72,2.5,3.69,31.78
351,22,1140,0,32,1.42,288,17.67,21.18,1,0,35.62
120,7.1,178,0,36,0.26,156,0.79,13.17,2.8,9.33,78.15
321,7.4,253,0,62,2.74,149,10.04,53.58,3.1,15.38,27.83
165,8.7,72,0,7,2.91,291,20.22,0,0,0,71.07
62,1.4,41,0,123,0,132,2.06,10.29,0,9.47,85.56
519,34,6,0,18,1.25,536,2.3,58.4,7.7,35.34,4.3
273,6.3,524,0,176,3.55,115,8.6,46,3.8,1.63,37
530,30,245,0,86,0.78,210,3.94,63.39,2,60.02,0.86
143,8.1,60,0,6,0.82,522,17.44,0.04,0,0,73.24
375,3.7,326,0,0,3.2,119,7.3,78,2.1,26.4,1
45,0.6,872,0,150,2.18,50,3.03,9.14,0.5,0.65,79.99
306,0.3,102,0,625,21.4,1125,6.21,80.88,7.7,2.97,8.68
260,3.9,538,0,43,2.81,177,8.7,49.5,5.5,0,35.8
23,0.3,20,0,215,2.32,611,2.46,4.02,0,0,91.69
352,1.2,9,0,29,2.5,280,9.91,77.72,15.6,0.8,10.09
326,29,876,0,12,1.44,237,14.1,1.63,0,0,53.15
325,14,52,0,525,19.1,1170,14.29,55.83,53.2,2.76,8.8
476,26,1770,0,101,0.72,145,32,28.6,10.2,0,8
360,1.1,1,0,17,1.23,186,12.68,72.83,3.9,0,12.67
69,2,2853,0,289,2.98,29,4.27,11.71,9.9,0,76.1
315,13,11,0,1652,28.12,1070,10.63,60.73,40.3,1.71,7.96
197,9,468,0,17,0.56,416,2.49,26.59,2.7,1.38,59.85
385,22,780,0,22,0.74,150,5.29,41.05,2.4,4.76,28.92
125,3.7,83,0,6,3.86,297,21.55,0,0,0,75.62
884,100,0,0,0,0,0,0,0,0,0,0
319,2.1,1435,0,587,7.83,4388,11.3,63.7,27.8,35.9,9
391,2.1,21,0,40,2.7,150,12.3,78.6,2.8,0,6.4
147,6.8,15,0,197,3.55,620,12.95,11.05,4.2,0,67.5
151,8.1,20,0,188,5.6,199,12.5,6.9,0,1.6,70.9
120,2.4,51,0,5,3.4,318,22.96,0,0,0,73.57
474,23,657,0,76,1.53,237,6.15,64.43,5.8,0,3.32
144,6.7,81,558,5,0.38,418,19.66,0,0,0,73.38
44,1,50,0,129,1.3,606,2.79,6.91,0,0,87.96
23,0.3,45,0,100,0.9,420,1.7,4.7,4,0.7,92
177,12,481,530,26,0.49,293,16.36,0,0,0,69.8
223,17,911,23,148,1.47,392,12.23,3.81,0,1.21,62.99
884,100,0,0,0,0,0,0,0,0,0,0
335,3.4,1005,0,178,14.5,81,88.32,0,0,0,4.98
148,6.7,72,0,51,0.32,292,20.53,0,0,0,70.85
76,1.5,18,0,8,0.32,400,14.48,0,0,0,83.24
282,22,1127,40,43,1.32,225,12.07,7.53,0,0,54.9
68,1,2,0,18,0.26,417,2.55,14.32,5.4,8.92,80.8
392,25,160,0,1767,44.9,1400,18.07,41.35,11.8,0.67,6.04
522,34,156,0,78,0.97,407,15.5,47.4,4.1,42.22,1.6
